,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
133,"['喜欢', '这部', '电影', '单独', '角色', '付出', '努力']",东篱,40,2018-04-27 09:44:48,18,,,好评
134,"['小时候', '玩', '金庸', '群侠传', '感觉', '杨过', '萧峰', '令狐冲', '韦小宝', '灭绝师太', '乱入', '剂量', '鸡血', 'high', '翻天', '优点', '欣赏', '无所不在', '幽默感', 'ps', '杰瑞米', '雷纳', '射箭', '太帅', '要学', '射箭', '啊啊啊']",萨库拉,50,2012-04-27 00:25:02,18,中国香港,2009-05-15,好评
135,,High Five,40,2012-06-17 16:05:14,0,,,好评
136,"['总算', '赶上', '下映', '一场', '好看', '萌', '甩变', '好几条', '银河系', 'loki', '咏', '哥', '造型', '憋', '内伤']",Freda,40,2012-06-19 13:10:01,0,,,好评
137,"['the', 'bright', 'lure', 'of', 'freedom', 'diminishes', 'your', 'life', 'joy', 'in', 'mad', 'scramble', 'for', 'power', 'for', 'identity']",YM,30,2012-06-17 14:25:57,0,中国香港,2008-12-13,一般
138,,尾巴是花洒的熊,40,2012-06-17 13:46:48,0,san francisco bay area,2006-11-24,好评
139,"['2012.05', '搜秀', '影城', '偶像', '英雄', '揉捏', '妥帖', '片子', '功力', '娱乐性', '毋庸置疑']",DennisZz9,40,2012-06-17 22:36:58,0,北京,2007-03-03,好评
140,,xp,50,2012-06-17 17:27:58,0,paris,2009-11-06,好评
141,"['美国', '英雄主义', '烂俗', '剧情', '戳', '笑', '没想到', '绿巨人', '担当', '逗哏', '重任', '斯嘉丽', '表现', '实在', '出色', '我家', '罗伯特', '唐尼', '托尔', '一如既往', '挫', '男', '美国', '队长', '盾牌', '想要', '结局', 'bug', '雷神', '电源', '钢铁', '侠', '不用']",下次还这样,50,2012-06-27 02:30:32,0,,,好评
142,,niqi120,40,2012-06-17 17:53:30,0,,,好评
143,"['4d', '效果', '超级', '看得', '过瘾', '一惊', '乍']",DaoDao,50,2012-06-19 14:09:06,0,,,好评
144,"['舉重', '若輕', '意外', '驚喜', '韋導大能', '軍', '司令', '大能']",Mona Lishark,50,2012-04-23 17:23:22,126,isle of man,2007-11-12,好评
145,"['还好', '打斗', '长不枉', '等待', '冗长', '大半部']",苗小K,40,2012-06-06 02:32:12,0,,,好评
146,"['美国', '英雄主义', '电影', '变形金刚', '2012', '剧情', '节奏', '没什么', '区别']",L 、,40,2012-06-19 17:41:11,0,,,好评
147,"['打斗', '很燃', '画面', '太', '震撼', '看得', '过瘾']",橘猫,50,2018-04-26 22:49:04,16,,,好评
148,"['零点', '首映', '不同凡响', '宅', '男奇', '观影', '特地', '温习', '老爸', '老妈', '浪漫史', '缘故', '见到', '行政', '人员', '果断', '笑', '全片', '燃点', '地上', '基地', '全毁', '绿巨人', '拳击', '坠', '钢铁', '龙时', '达到高潮', '难能可贵', '场面', '接上', '小萌点', '全片', '142', '分钟', '全无', '冷场', '堆', '特效', '不惜', '血本', '目测', '年度', '任选', '场景', '秒杀', '超级', '战舰']",文泽尔,50,2012-05-05 15:15:13,14,zürich,2007-08-20,好评
