1,最喜欢绿巨人~,可免都免掉,"['allstar30', 'rating']",2012-06-19 10:16:44,0,,
2,群殴片。各种2，尤其是美国队长和雷神，来一次笑一次。但都2012年了，还玩核弹…而且反派boss太弱了…下一集是红脸外星猩猩崛起乱入么？！,木卫二,"['allstar30', 'rating']",2012-05-06 13:48:31,18,四川成都,MovieL  2006-03-29加入
3,这种超级英雄大片就各找萌点吧！,A宝,"['allstar40', 'rating']",2012-06-19 09:47:55,0,,
4,剧情简单，反派颇弱，需要些科普才能看的更懂，搞笑程度和效果都还不错。中文字幕组是亮点 = =,龙天衡,"['allstar40', 'rating']",2012-06-19 12:45:23,0,,
5,1+N=复仇者联盟=票房,just game,"['allstar50', 'rating']",2012-06-19 06:00:06,0,,
6,前半部分睡着了，，，高潮部分刚好有精神欣赏，，没看过前戏的朋友还是做了功课再看，，不然会和我一样完全状况外，，IMAX画面特效没话说。。。。,瞾曌没曌瞾了,"['allstar30', 'rating']",2012-06-19 06:17:24,0,,
7,美国主义片子。。英雄总是无敌的，不会死的！,黑色的颜,"['allstar30', 'rating']",2012-06-19 10:23:17,0,,
8,阵容强大，集结了美国漫画中的绝大数英雄，场面也很庞大。,隨風qù闖蕩,"['allstar40', 'rating']",2012-06-19 12:21:24,0,,
9,猛男管蛋用 半打才收了一个尖脸,RITA,"['allstar30', 'rating']",2012-04-27 05:43:14,27,"Paris, France",RITABMW  2007-06-16加入
10,无聊弱智，大乱炖，狗血剧情,已注销,"['allstar10', 'rating']",2018-04-23 07:34:27,25,,
11,绿巨人威武！,_MasQ,"['allstar50', 'rating']",2012-06-17 06:48:47,0,上海,2609209  2008-06-17加入
12,美国大片去影院感受下，刺激刺激挺好呵呵,元子,"['allstar40', 'rating']",2012-06-17 08:02:20,0,山东青岛,4514152  2009-06-30加入
13,超级英雄什么的，我实在是理解无能。。更重要的是，为什么3d眼镜是墨镜？我看雨果时就想问了。真的好黑啊！途中我无数次摘下眼镜发现只有字幕在3d。。,偏时差,"['allstar30', 'rating']",2012-04-29 19:30:31,27,中国香港,ananpsc  2005-11-13加入
14,肿么办= =对那个射箭的欲罢不能了！！,dncjkebhascvdc,"['allstar50', 'rating']",2012-06-17 11:30:06,0,,
15,只有刺激了,dennis,"['allstar40', 'rating']",2012-06-17 09:17:37,0,江苏南京,D.N.S  2008-11-17加入
